Review Title,Review Text,Sentiment,Review Length
Brilliant,Very good.,1,2
Best in the market!,Good one I like it,1,5
Brilliant,Very nice products,1,3
Awesome,Got original product,1,3
Does the job,Little slow than normal shuttle.,0,5
Perfect product!,Well brand,1,2
Awesome,This is my fourth order ...🥲🥲🥲 recieved 10 rupees shuttles,1,10
Not good,All got broken so soon.,0,5
Wonderful,Good quality 👍,1,3
Good choice,Good quality. Delivered on time .,1,6
Could be way better,Unlike my earlier purchases this is not even lasting for  2 days .,0,13
Unsatisfactory,Low quality... don't buy online😖,0,5
Terrific,Looks genuine with great quality,1,5
Simply awesome,Good product,1,2
Expected a better product,Quality is very poor..,0,4
Bad quality,No good,0,2
Nice,Good Product but Delivery is too late...,0,7
Awesome,This is the original product. Buy with no hesitation,1,9
Just wow!,Very nice and good quality service.....thanks flipkart and team.,1,9
Pretty good,Super ❤️,1,2
Wonderful,Fine,1,1
Super!,Too good,1,2
Did not meet expectations,Bad product..... Waste of money😡Don't buy this product,0,8
Awesome,Very nice product.. Delivered in only 1 day.. Super super super 👍👍👍,1,12
Wonderful,Its good but slow move,1,5
Terrific purchase,Good boy,1,2
Wonderful,nice,1,1
Value-for-money,Very good quality,1,3
Classy product,Original product.  Liked it,1,4
Fair,Durability is very poor in compare with before...,0,8
Wonderful,This easy to play,1,4
Simply awesome,Good product. Original Yonex.,1,4
Wonderful,As usual it's a good one. Its Yonex,1,8
Must buy!,Best,1,1
Must buy!,nice shuttle for reasonable price. the flight doesnt alter much even after 6 or 7 games. far better than those purchased from local stores,1,24
Brilliant,Best shuttle for practice,1,4
Perfect product!,Marvellous product.,1,2
Perfect product!,Good one,1,2
Worthless,Quality not good,0,3
Brilliant,Super,1,1
Simply awesome,Awesome product 👍🏻,1,3
Hated it!,poor Quality,0,2
Could be way better,Product quantity to bad,0,4
Value-for-money,Nice product,1,2
Delightful,Best,1,1
Hated it!,not good,0,2
Don't waste your money,Not that good ququality,0,4
Nice product,Super,1,1
Really Nice,genuine product thank you flipkart,1,5
Just wow!,I'm an intermediate player. The shuttle easily lasts for 10-15 games without any problem. Can be used for casual outdoor games.,1,21
Classy product,Best!,1,1
Good,Not bad,0,2
Fabulous!,GREAT SELLER REPLACEMENT DELIVERY IN 2 days,1,7
Good choice,Good Quality,1,2
Perfect product!,Nice quality,1,2
Waste of money!,"Instead of Mavis 350,I got Mavis 2000i.That product is also duplicate. I am quite frustrated. Please don't buy this product.",0,20
Unsatisfactory,Average,0,1
Classy product,Amazing price,1,2
Awesome,"The product and pacaging is very good 👌, thank you flipkart",1,11
Mind-blowing purchase,Awesome,1,1
Classy product,Excellent,1,1
Classy product,"Must buy , value for money",1,6
Fabulous!,Valuable,1,1
Wonderful,Super,1,1
Utterly Disappointed,Iam order this cockes are quality is not good and speed is slow bad product,0,15
Very Good,Good one,1,2
Good,Not good and bottom of corck damage early when we ply not sticky we believe Yonex but this was not  good product,0,22
Best in the market!,Very good good,1,3
Simply awesome,Very good quality,1,3
Pretty good,Worthy,1,1
Delightful,Product is good.,1,3
Really Nice,Good product,1,2
Best in the market!,Nice packing  good quality,1,4
Perfect product!,Ok,1,1
Nice product,Nice product,1,2
Best in the market!,Best badminton shuttle nothing is better than this product Just a little expensive but is the best !,1,18
Nice,The price of this product is high,0,7
Delightful,Superb,1,1
Not good,Speed of the shuttle is not not as per standard Yonex Mavis 350?,0,13
Highly recommended,Good you such definetely go for it 👍👍🤞,1,8
Waste of money!,Good,0,1
Must buy!,Good ProductAwesome Delivery Nice Durability Highly Recommended 🥰🥰,1,8
Fair,Some shuttles are worst.,0,4
Good choice,Excellent,1,1
Terrific purchase,Best,1,1
Good quality product,Not bad,1,2
Good choice,Very nice,1,2
Worth every penny,God,1,1
Excellent,excellent,1,1
Excellent,This is perfect,1,3
Awesome,good,1,1
Slightly disappointed,"I don't think it is Mavis 350, quality is bad",0,10
Great product,Very good quality,1,3
Not good,Quality is not good,0,4
Absolute rubbish!,Worst Quality.....,0,2
Brilliant,ok ok,1,2
Awesome,Good one... Little more quality required,1,6
Wonderful,Perfect to play,1,3
Brilliant,Tq ok,1,2
Terrific,Genuine product.,1,2
Excellent,Excellent balance,1,2
Useless product,Too expensive,0,2
Great product,Gud to play,1,3
Very Good,Value for money 💵 buy it again ☺️,1,8
Super!,Very..good product.. i really... impressed,1,5
Brilliant,Superb corck,1,2
Worthless,We play 2 hours daily and none of this lasted a whole day. Poor quality .,0,16
Super!,We use always this.super.,1,4
Good,Nice 🙂,0,2
Does the job,Not so bad and not so good.Average product .,0,9
Delightful,nice,1,1
Great product,Gods product,1,2
Perfect product!,Quality of the product is very good and it's quite genuine product,1,12
Terrific purchase,Very good...Durable...,1,2
Must buy!,There is no one better than yonex Mavis,1,8
Really Nice,I m using mavis 350 since 5 years.. I would have given 5 stars but -1 star for condition of barrel received. However shuttles are in good condition as it is nylon.Delivery was good received the item within three days.,1,40
Nice product,Bad packings shuttle complicated,1,4
Excellent,Original made in japan,1,4
Brilliant,This is best for beginners and professional,1,7
Perfect product!,Nice Product.,1,2
Excellent,Super product,1,2
Wonderful,Massive,1,1
Pretty good,Nice,1,1
Good choice,Super,1,1
Highly recommended,Go for it without any second thoughts,1,7
Horrible,This is not original Yonex Mavis 350. It is a useless cork with the look and branding of Yonex Mavis 350. It won’t last for more than 2 games,0,29
Terrific,good,1,1
Best in the market!,excellent,1,1
Best in the market!,No need mention anything it's always the best,1,8
Just wow!,Excellent quality,1,2
Terrific purchase,Super Quality mind blowing,1,4
Best in the market!,Good shuttles,1,2
Fabulous!,All the shuttle are so nice,1,6
Super!,Awesome must buy,1,3
Brilliant,G9od,1,1
Simply awesome,Good quality ☺️,1,3
Super!,The best product,1,3
Brilliant,"This is my 2nd purchase for same product Good shuttle as compared to othersI don't know but the mavis350 I bought from Flipkart is very very sturdy, nylon skirt gets ripped but cork doesn't get loose or came out of single shuttle and it's good for me We use those ripped shuttle for warm up👍",1,55
Good choice,"High durability, long lasting,",1,4
Really Nice,Long life and good quality,1,5
Best in the market!,Good quality. Genuine product.,1,4
Good,Supar,0,1
Fabulous!,Supper,1,1
Great product,Nic one,1,2
Best in the market!,Product is good and worth of every penny.,1,8
Good choice,good,1,1
Super!,For a player it's good,1,5
Terrific,Super qulitt,1,2
Delightful,Good has company brand,1,4
Wonderful,Value for money,1,3
Fabulous!,Shuttle is very good perfect for badminton players,1,8
Wonderful,Nice item,1,2
Terrific,Good for playing shuttle,1,4
Worth the money,Superb for outdoor. Nice Quality,1,5
Terrific purchase,Value for money💯💯,1,3
Awesome,Very nice shuttle and speed,1,5
Mind-blowing purchase,Good and durability is also good,1,6
Highly recommended,"Good,",1,1
Brilliant,Excellent shuttle for outdoor use. And can last for 2-3 days,1,11
Value-for-money,It is so good,1,4
Awesome,Original . Awesome. Love to Flipkart,1,6
Awesome,Gud,1,1
Classy product,"Very good , but expensive . Try it.",1,8
Nice,First time damage product and next time give the good product.,0,11
Brilliant,Great product😇,1,2
Classy product,Awesome 👌,1,2
Value-for-money,Worth for money good one,1,5
Mind-blowing purchase,VEERY GOOD PRDUCT,1,3
Fabulous!,Perfect for indoor games..,1,4
Worth every penny,Very Good Quality Provided By Flipkart!,1,6
Excellent,Good product...,1,2
Just wow!,Very good,1,2
Wonderful,Excellent,1,1
Super!,Shuttlecock quality is much more better,1,6
Bad quality,The shuttles are,0,3
Super!,Perfect for intermediate level of playing,1,6
Simply awesome,Good product for yonex and good service for Flipkart,1,9
Best in the market!,It's good I really appreciate,1,5
Must buy!,Excellent shuttle.....,1,2
Good choice,Nice one,1,2
Brilliant,Worthy,1,1
Highly recommended,I am happy,1,3
Excellent,Kollam super,1,2
Just wow!,Genuine product...thanks flipkart,1,3
Terrific,Very good product,1,3
Did not meet expectations,This time not good so,0,5
Very poor,Not worth for even single star.,0,6
Value-for-money,Fine one,1,2
Did not meet expectations,Very poor Quality,0,3
Very poor,Quality was not good after playing one or two games the bottom came off the shuttle.,0,16
Brilliant,Good & original product,1,4
Must buy!,Good quality,1,2
Brilliant,Excellent.,1,1
Great product,Very good,1,2
Utterly Disappointed,Bad product 🥴,0,3
Perfect product!,No one is like Yonex,1,5
Wonderful,Good build quality,1,3
Slightly disappointed,Good,1,1
Moderate,Nice,1,1
Really Nice,"Not the original one which is made by Yonex company..look is completely same with the original product. it's very difficult to differentiate with original product.but when you play with this,you can feel the difference with original one.not lasting like original.good for beginners..",0,42
Classy product,Gd product,1,2
Wonderful,Nice product,1,2
Does the job,Supeb,1,1
Worth every penny,Very good 😊😊😊😊😊,1,3
Fabulous!,Very cheap quality... Didn't least fir one game,0,8
Pretty good,This product is a very bad and totally changed.,0,9
Excellent,Good item,1,2
Simply awesome,super,1,1
Simply awesome,Nice product u can go for it.. Packing was good overall genuine product worth for money.,1,16
Excellent,Old product,0,2
Excellent,Worth of cost,1,3
Perfect product!,Best in mid range for daily use,1,7
Highly recommended,Very nice product.,1,3
Did not meet expectations,Nice product.,1,2
Wonderful,See getting mavis 350 in market is quite confused one with originality and it's transportation charge exceeds than our budget but flipkart made us so comfortable by providing highly original product with good packing and timy delivery.,1,37
Super!,Excellent,1,1
Worth the money,Good,1,1
Really Nice,Better quality,1,2
Brilliant,Good quality shuttles. Delivery is also fast,1,7
Worth every penny,Original shuttle ❤️🔥,1,3
Pretty good,Very good,1,2
Must buy!,Poor responsed from Flipkart,1,4
Very Good,Fantastic….,1,1
Best in the market!,Very very disappoinment Flipkart...I ordered 2set of mavis 350 shuttle but 12 shuttles are very very poor quality... 1shuttle only for 2 gameVer very disappoinment,0,25
Highly recommended,Nuber one qualitty,1,3
Moderate,Super,1,1
Fabulous!,Good,1,1
Perfect product!,Value for money,1,3
Good,Original product love it..,1,4
Classy product,Good to see that what is described by Brand and seller are spot on..Ideal for beginners to Amateur players.,1,19
Delightful,Good one,1,2
Simply awesome,"Super,strong",1,1
Super!,"Price is too much,But can't compare with other",1,8
Highly recommended,Gd,1,1
Good choice,Good product,1,2
Classy product,Quality is not good,0,4
Pretty good,Good,1,1
Best in the market!,Worth to buy,1,3
Fabulous!,Good,0,1
Excellent,Superb quality . Thanks alot to deliver guy,1,8
Fabulous!,Ok ok,1,2
Good,Genuine and Original product by seller. Mavis 350 is slow and suited for Indian atmospheric conditions as per personal opinion.,1,20
Really Nice,Very good service. Fast delivery,1,5
Good,Nice,1,1
Worth the money,Nice,1,1
Good quality product,Excellent,1,1
Awesome,Nice item,1,2
Classy product,Good,0,1
Delightful,The product was good and good for smashes but not good for drop.,1,13
Delightful,Great product. Highly recommended for practice.,1,6
Nice product,Price is higher than it's quality,0,6
Wonderful,Nice one,1,2
Good,Good quality,1,2
Terrific,Good quality,1,2
Utterly Disappointed,Good,1,1
Wonderful,Nice Product.,1,2
Great product,Good,1,1
Terrific purchase,Very good,1,2
Super!,Good to play,1,3
Terrific,Genuine best quality,1,3
Highly recommended,Good items,0,2
Horrible,Waste of money,0,3
Terrific purchase,Overall product is good except durability... It lasts only 3-4 days of heavy match...In this price range it's durability should be increased according to my opinion...,1,26
Great product,Super,1,1
Useless product,Good,1,1
Nice product,I am playing badminton from 2 years and I never use other shuttle than this and this shuttle is fabulous v,1,21
Really Nice,Good,1,1
Worthless,"The Shuttles are genuine, you can easily go for it.",1,10
Super!,Best hai,1,2
Mind-blowing purchase,Fantastic 👌👌👌,1,2
Must buy!,Nice,1,1
Moderate,Ok,1,1
Could be way better,Super,1,1
Just wow!,Cheapest and original,1,3
Just wow!,Two pieces got damaged in single match#totally waste of money #,0,11
Good choice,Okay,1,1
Just wow!,Very Good and long lasting. The flight of the shuttlecock I'd good,1,12
Perfect product!,Poor quality,0,2
Fabulous!,Nice Flower,1,2
Must buy!,GOOD,1,1
Pretty good,Quick delivery and genuine product,1,5
Mind-blowing purchase,Ball was not quite good. So don’t buy from them . I have bought more than 3 boxes . All three were not good,0,24
Terrific,Wast,0,1
Mind-blowing purchase,Nice product,1,2
Perfect product!,Loved it,1,2
Mind-blowing purchase,Good,1,1
Classy product,Enjoyed playing with it.,1,4
Value-for-money,Good product,1,2
Must buy!,Yonex mavis 350 nylon shuttle best Quality 😍😍,1,8
Good,"Best product at this price , one cork last for upto 20 to 25 matches if u play prpoerly.",1,19
Just wow!,Superb nice products,1,3
Awesome,Original product,1,2
Perfect product!,Nice MAVIS350,1,2
Wonderful,Its good,1,2
Perfect product!,Super product,1,2
Terrific purchase,Good,1,1
Pretty good,Great,1,1
Best in the market!,Good quality and long life. Hard to get a simalar shuttle,1,11
Wonderful,"Quickly gone ,had to use new shuttle everyday (roughfly 6,7 games)",0,11
Good quality product,Good product,1,2
Nice,The best in the market. Durable+ good path.,1,8
Must buy!,Very nice and long lasting shuttle. Recommended.,1,7
Fabulous!,Classy game feel the strung sound wile hitting those corkzzz that's really awesome,1,13
Terrible product,"The Settle Mavis 350 given by you was very good and we got it more quickly according to it, thank you very much.",1,23
Classy product,Very good,1,2
Really Nice,Genuine product and fk delivery super fast,1,7
Brilliant,Good,1,1
Highly recommended,Good,1,1
Utterly Disappointed,Good one,1,2
Value-for-money,Thank you❤❤❤❤❤,0,2
Worth every penny,Thank you so much sir. For solving my problem,1,9
Terrific purchase,Super,1,1
Just wow!,"Last two time delivered cork original quality but this time very low quality , i am very disappointed",0,18
Good quality product,Good,1,1
Classy product,Nice 👍👍,1,2
Best in the market!,Normal,1,1
Brilliant,Need 10 tubes more,1,4
Wonderful,Recieved very bad quality product. Usually each shuttle last for some days but the entire box lasted for less than a week 😂. It's better to buy from shops.,0,29
Wonderful,So far good. Will update review after a month,1,9
Decent product,must buy.,1,2
Terrific,Nice shuttle for long run games… good for out door as well,1,12
Worth the money,The best shuttle.Using this shuttle for the past 2 years. So I recommend it. After trying many shuttle found out that is is the best one. Long lasting. durable.,1,29
Must buy!,"Excellent flight, perfect for daily practice",1,6
Awesome Product,It is good product,1,4
Did not meet expectations,Ok good,1,2
Expected a better product,Excellent,1,1
Mind-blowing purchase,Good shuttle and fast delivery by Flipkart.,1,7
Mind-blowing purchase,"Shuttle was of poor quality, getting damaged to soon..I doubt it's duplicate",0,12
Wonderful,Superb shuttle....❤️,1,2
Fair,Nice,1,1
Super!,everything is fine with this shuttlecock except its durability,1,9
Highly recommended,Wow...fantastic....thanks flipkart.,1,2
Must buy!,Vvvv good,1,2
Worth every penny,Super quality..,1,2
Terrific purchase,Didn't expected this quality of product . The quality of each shuttle is similar to a 5rupees shuttle. Even didn't refunded the money. Wastage of money.,0,26
Pretty good,"Quality and durability is very low(not even 5 matches it withstood) when compared for this, i guess they have provided old stock for me!! Here there is a problem which is new stock and whch are old stock",0,38
Nice,Nice shuttle,1,2
Terrific,Item as described..,1,3
Perfect product!,Not good,0,2
Excellent,Satisfied.,1,1
Best in the market!,Very good quality,1,3
Good choice,Awesome,1,1
Very Good,Good 👍🏻,1,2
Just wow!,It's ok,0,2
Nice,Best shuttle go for it 🤗,1,6
Terrible product,Nice product,1,2
Decent product,Awesome purchase..👍👍👍👍💥💥💥,1,2
Wonderful,Nice product totally slow,1,4
Good,Good product,1,2
Terrific,Good,1,1
Terrific purchase,"Few shuttles are way faster within few knocks, but overall seems better. Not sure if authenticity of the shuttles. Price could have been little lesser",1,25
Brilliant,Fantastick,1,1
Mind-blowing purchase,Supper,1,1
Excellent,"Got real item in 2 chance , after replacement.",0,9
Good quality product,Price too high,0,3
Terrific purchase,Corck need be better it has lot of small holes,0,10
Must buy!,Good,1,1
Pretty good,Good quality,0,2
Wonderful,Wery good product,1,3
Highly recommended,Super Item...,1,2
Does the job,Good product quality 👍,1,4
Excellent,It's Durable. One Shuttle lasts for more than 2 weeks. Since I'm at Intermediate. It's lasts long than usual.,1,19
Best in the market!,Very good and durable shuttle!,1,5
Not good,Super good qulity,1,3
Must buy!,good,1,1
Super!,Absolutely amazing product... Great for beginners One shuttle almost last for 2 days,1,13
Bad quality,Nice products,1,2
Nice,superb product from flipkart,1,4
Nice,Super,1,1
Pretty good,WaoooooVery NiceReally I like it's 👌👌👍,1,6
Wonderful,Okay,0,1
Must buy!,Nice as expected,1,3
Simply awesome,Terrible experience the shuttle have not even lasted for 6 straight games,0,12
Fabulous!,Worth for money. Buy it from online only because outside it may be costly .,1,15
Useless product,Nice,1,1
Brilliant,Worst quality i have ever buy  .....it Dancing while flying....Very disappointed,0,11
Worth every penny,Nice product,0,2
Perfect product!,The price is terribly high,0,5
Awesome,Superb very nice oneValue for money,1,6
Good quality product,Nothing to say about it...bt we have  doubts is it original yonex bcz coke life is short,1,17
Awesome,Nice this product,1,3
Fabulous!,GOOD,1,1
Best in the market!,Very good product,1,3
Awesome,Nice shuttle for advance players... Thanks Flipkart,1,7
Classy product,Low quality.,0,2
Highly recommended,very nice and expected product,1,5
Super!,Geniuen product to buy Thanks to Flipkart and Yonex,1,9
Simply awesome,Thanku flipkart👍👍👍👍,1,2
Great product,Good one,1,2
Brilliant,Go for it😏😏,1,3
Just wow!,Trustworthy seller.,1,2
Brilliant,Good  quality,1,2
Fabulous!,Thank you flipkart.,0,3
Simply awesome,"The product was as aspected , it was great",1,9
Must buy!,Mavis 350 beat options all shuttle level players,1,8
Simply awesome,Good product....,1,2
Mind-blowing purchase,"Awesome,must buy",1,2
Simply awesome,Excellent,0,1
Fabulous!,Good product at discounted price I got it at 850,1,10
Excellent,Simply awesome,1,2
Brilliant,Gud,1,1
Fabulous!,Good Product.,1,2
Nice product,Nice product 🤩🤩but price is too high😞,1,7
Nice,Very nice.,1,2
Good choice,Perfect,1,1
Delightful,Excellent,1,1
Pretty good,Super,1,1
Hated it!,amazing coc,1,2
Good quality product,Nice work,1,2
Horrible,Nice,1,1
Utterly Disappointed,Very nice,1,2
Terrific purchase,"Good Product, Same as bought from shops",1,7
Just wow!,Good,1,1
Good choice,Nice product and delivered ontime.,0,5
Bad quality,"On time , good delivery",1,5
Just okay,Price so high,1,3
Just okay,Nice one,1,2
Must buy!,Por quality,0,2
Worthless,"Good quality shuttle , , good for begineer and intermediate players.... one shuttle will last more than 3 days no matter how extreme you play with net or without net in local style..",1,33
Worth the money,Useless Shuttle cant play one single game with one shuttle. I recommend all of you not to waste your money in this westeless shuttle. Never buy this. Price is high and Quality is very low.,0,35
Worth every penny,Copy product,0,2
Just wow!,Brand is good but i do not know how this packet not good Worse quality has given,0,17
Perfect product!,Price too high,0,3
Great product,Price too high,0,3
Perfect product!,Great,1,1
Terrific,Not Good 😭😭,0,3
Classy product,Super 👍👍,1,2
Don't waste your money,Really nice,1,2
Fabulous!,Good Product,1,2
Classy product,Very nice,1,2
Terrific,Original quality,1,2
Awesome,It's  awesome,1,2
Terrific,This product is very good,1,5
Not recommended at all,Best for bigineers,1,3
Mind-blowing purchase,Very nice 👍👍,1,3
Just wow!,Longlasting unlike other shuttle,1,4
Classy product,Shuttle broken within one day worst product,0,7
Must buy!,Mavis 350 is the best shuttle I've ever played with,1,10
Great product,Fabulous product ever,1,3
Very poor,Very nice product 👍👍,1,4
Wonderful,Nice product💯💯👍👍,1,2
Terrific purchase,Not good quality,0,3
Brilliant,"Kudos on the delivery, quick and well packaged. Product is great.",1,11
Value-for-money,Good,1,1
Value-for-money,Good product.,1,2
Pretty good,Perfect for Play,1,3
Classy product,Excellent shuttles as always,1,4
Worth every penny,Very nice original and genuine products supplied by flipkart,1,9
Highly recommended,bad quality,0,2
Simply awesome,Good shuttle,1,2
Awesome,Value for money,1,3
Fabulous!,A good and orginal product. Thanks FlipKart.,1,7
Terrific,Quality is nice but not that great.,1,7
Could be way better,Satisfactory only...,1,2
Super!,Nice shuttle our team played well by using this and the negative point is in outdoors some what the shuttle lose stability,1,22
Brilliant,Good and fast delivery super,1,5
Best in the market!,Good ARN link retailers product is goog,1,7
Awesome,Worth for money,1,3
Just wow!,Best shuttles,1,2
Good quality product,"Perfect shuttles for Indoor. Lasts long, good in quality.",1,9
Super!,Very nice product,1,3
Very Good,No good,0,2
Bad quality,Nice shuttles,1,2
Horrible,Original good quality,1,3
Could be way better,Nice product,1,2
Wonderful,superB,1,1
Don't waste your money,Delighted,1,1
Awesome,Very fast delivery...And very good quality of shuttles....,1,8
Delightful,Nice product,1,2
Wonderful,"Nice product, good quality but price is little high",1,9
Pretty good,Shuttle was ok,0,3
Perfect product!,"Disappointed , only one shuttle was proper rest all are swinging..",0,11
Delightful,Ok,0,1
Expected a better product,Good quality shuttes👍👍,1,3
Worth the money,Very bad,0,2
Value-for-money,Same original,1,2
Brilliant,Nice,1,1
Terrific,Nice super,1,2
Great product,Best quality product thanks for Flipkart,1,6
Terrific purchase,Original,1,1
Good quality product,Lasting in our smash 😄😄💪💪,1,5
Pretty good,very poor product,0,3
Fabulous!,Very high price compare to other products.  Better to buy similar product on li-ning for lower price,1,17
Super!,Very good quality,1,3
Good choice,Genuine product,1,2
Just wow!,Awesome 👍👍👍👍👍😎,1,2
Just wow!,it's fast devery  thanks to flipkart,1,6
Terrific purchase,Supper,1,1
Super!,"Quality is very good , price is too high .. Excellent quality and reliable too",1,15
Perfect product!,Wow,1,1
Wonderful,Nice and real shuttle of yonex,1,6
Awesome,Good,1,1
Perfect product!,rely tq flpcart,1,3
Wonderful,Original,1,1
Brilliant,Got original and cheaper than in local market,1,8
Great product,Super quality product,1,3
Awesome,Its Ok good product,1,4
Simply awesome,Excellent,1,1
Good quality product,Sooper,1,1
Perfect product!,Amazing offer for genuine products,1,5
Simply awesome,Better than all other brands in this segment.,1,8
Must buy!,Very good quality thanks flipkart,1,5
Nice product,super product I love it,1,5
Perfect product!,Good items,1,2
Brilliant,Excellent...ma,1,1
Good quality product,Fastest ever delivery ever recieved.. ordered yesterday and received today. Thanks to Flipkart.. genuine product..,1,15
Awesome,This shuttle give nice control.,1,5
Very Good,Nice product,1,2
Fair,Good,1,1
Pretty good,Nice....,1,1
Slightly disappointed,Good,1,1
Excellent,"Actually this previous shuttles good,but this time bottom is damaged fast.",1,11
Brilliant,Value for money,1,3
Decent product,Awesome product,1,2
Nice product,Very good🔥,1,2
Great product,Super,1,1
Good quality product,Good product and reasonable price,1,5
Just okay,Super,1,1
Good,Cork is very bad quality,0,5
Best in the market!,Was an excellent purchase.. does its job perfectly.. the only problem we felt was the flying speed was little less compared with  Mavis 350 shuttle we purchased from out side.. il,1,31
Awesome,It's looking second quality,0,4
Terrific,Nice shuttles,1,2
Just wow!,Good quality satisfied for what I paid,1,7
Nice,Using this product Racquet broken fast,0,6
Super!,Good,1,1
Just wow!,Nice product,1,2
Brilliant,reached on time good,1,4
Worth every penny,Average,0,1
Worth every penny,Good,0,1
Mind-blowing purchase,Worth for money nice product,1,5
Pretty good,Nice,1,1
Brilliant,Satisfied,1,1
Terrific,product is lower quality for compare to previous lock down  product,0,11
Classy product,Awesome product....best quality...🤩🤩🤩,1,3
Just okay,Delivered very fast and the product was very high quality,1,10
Fair,Good one recieved,1,3
Super!,Good product but now price is high,1,7
Decent product,Worth of price,1,3
Good,Nice product.,1,2
Mind-blowing purchase,Super super nice,1,3
Awesome,"The product is a bit costly. But, it's not a regular shuttle. Being new to this sport, I didn't have a clear idea whether it'll last longer or not. I had to experiment and as of now I can assure you that it's the best quality you can get at this price point. Go for it. The whole box will last you more than a month if you are a regular player.",1,72
Worth every penny,Nice and very durable,1,4
Terrific,Original product.I love it.,1,4
Must buy!,Just ok,0,2
Great product,Fantastic,1,1
Wonderful,good,0,1
Classy product,Some shttles are not good quality. Doesn't look authentic as local markets shuttles are much better and durable.,0,18
Terrific purchase,Original product if you are intermediate then it is good for you,1,12
Nice product,Super it's good for playing,1,5
Must buy!,"Excellent,original quality,fast delivery even in this situation,tq fkmlipcart",1,8
Terrific,Worth............,1,1
Great product,Good Product,1,2
Delightful,Nice durable,1,2
Pretty good,Good quality,1,2
Simply awesome,Very gud shuttle 👍🏻,1,4
Good quality product,"In such pandemic time this product yonex MAVIS 350 is not easy to find in sports stores , and they demand more than 200+ for single piece so please buy this product i got it for 900 price and quality are good go for it",1,45
Highly recommended,Great product 👌,1,3
Excellent,Thanks flipcart,1,2
Mind-blowing purchase,Value for money,1,3
Classy product,good qualty,1,2
Must buy!,just awesome,1,2
Really Nice,Original product from yonex,1,4
Decent product,Good,1,1
Does the job,Nice quality brilliant good condition,1,5
Worth the money,Nice product,1,2
Highly recommended,Wow,1,1
Good quality product,Good delivery service and product also awesome,1,7
Highly recommended,best!,1,1
Perfect product!,Very good product,1,3
Awesome,Only 4 shuttles are good.. two are waste of money..,0,10
Terrific,"Yah, not bad.... better for shuttle players who r in beginners not for extraordinary players...",0,15
Excellent,Checked code with Yonex sunrise India...found the product to be genuine.... Quick & decent delivery service,1,16
Worth the money,Nice shuttles..... Mavis 350 are very good shuttles. But Little costly.... But no problem . Can be better than mavis 10......worthy.,1,21
Perfect product!,Good,1,1
Must buy!,The product is good and price worthy.,1,7
Classy product,Good professional product,1,3
Hated it!,Super shuttle..,1,2
Just wow!,Good quality like purchased in sports center,1,7
Very Good,Jst Awesome,1,2
Highly recommended,Supper,1,1
Value-for-money,Super product,1,2
Simply awesome,Nice product,1,2
Wonderful,Super and durable for our shots,1,6
Nice product,Good product,1,2
Great product,Soon broken,1,2
Highly recommended,Get in time.,0,3
Delightful,fast delivery during corona pandemic is something unbelievable.,1,8
Decent product,The product is too good,1,5
Pretty good,Very good👍👍,1,2
Must buy!,Good and original Yonex shuttle..,1,5
Pretty good,Nice product and fast delivery,1,5
Terrific,Nic,1,1
Super!,Good ones,1,2
Awesome,Nice,1,1
Terrific,Best nylon shuttle for outdoor and indoor..,1,7
Utterly Disappointed,Normal items not for Quality,0,5
Super!,Good product,1,2
Just wow!,Perfect 3day usage of each one.Worth purchase 👌👍😊,1,8
Awesome,Very nice and durable,1,4
Simply awesome,Very worth it product and value for money,1,8
Best in the market!,The quality is too good,1,5
Highly recommended,It's perfectly pure on quality,1,5
Super!,Go for it,1,3
Terrific purchase,Nice pack... Go for it... Value for money...  Thnks flipkart..,1,10
Value-for-money,Fast delivery best quality,0,4
Unsatisfactory,thank you flipkart for a quality product and standard delivery...,1,10
Fair,Quality doesn't missed anywhere,1,4
Does the job,Good product,1,2
Brilliant,thisbis very good product but price is to much price will be 800,1,13
Mind-blowing purchase,classic chumma chiseled,1,3
Excellent,Quality good,1,2
Fair,Product was too bad and quality not good as expected.. Earlier we bought same product and used each shuttle for a week.. This product not sure why it got damaged with in a day.. please check and do the needful ASAP,0,41
Pretty good,"Quality of product is not good, cork broken only within one hours.",0,12
Good quality product,good,1,1
Brilliant,Very good,1,2
Good choice,Nice,1,1
Fair,Nice,1,1
Great product,"No shuttlecocks can compete this one, in terms of flight, durability, exactness, well balanced!",1,14
Classy product,very good product,1,3
Decent product,Firstly  Yonex is best company  for badminton and this shuttle is better than Yonex 250,1,15
Terrific,"Very good product,thank you flipkart",1,5
Highly recommended,Unbeatable,1,1
Excellent,Timed delivery. Satisfying,1,3
Must buy!,This is very nice,1,4
Highly recommended,"If Price would be around 850, then it's better",1,9
Mind-blowing purchase,Not nice,0,2
Nice product,Satisfied,1,1
Perfect product!,Ok fine,1,2
Did not meet expectations,Not so good in terms of durability,0,7
Classy product,Very good quality,1,3
Mind-blowing purchase,Nice shuttles. Played 9 games so far without baby damage to the shuttles. It will last another 8-9 games,1,19
Awesome,Nice product,1,2
Mind-blowing purchase,I am well satisfied.I am very greatful to flipkart.Hope that in future order also you will deliver me the right goods.Thanku,1,21
Brilliant,Its original product. You are not going to waste your money. Feel free to buy 😄.,1,16
Just wow!,Super,1,1
Excellent,Best in see,1,3
Nice,2 shuttles missing,0,3
Brilliant,Nice products,1,2
Really Nice,Quality - excellent,1,3
Good quality product,Perfect,1,1
Great product,Nyc product,1,2
Great product,"Nothing much to tellAlways best product for badminton ,",0,9
Best in the market!,Products are good quality,1,4
